location,San Francisco,San Francisco,San Francisco,San Francisco
lat,37.99986,37.99986,37.99986,37.99986
lon,-122.34375,-122.34375,-122.34375,-122.34375
asl,60.343,60.343,60.343,60.343
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,San Francisco Temperature [2 m elevation corrected],San Francisco Precipitation Total,San Francisco Wind Speed [10 m],San Francisco Wind Direction [10 m]
20200315T1500,9.718226,0.9,12.2021675,216.11934
20200315T1600,9.548226,0.7,11.128379,222.08917
20200315T1700,9.338226,0.5,9.9855585,226.08093
20200315T1800,8.918226,0.3,8.528962,231.3402
20200315T1900,8.238226,0.2,6.723632,236.30994
20200315T2000,7.6682267,0.0,5.328,233.1301
20200315T2100,7.3482265,0.0,4.5833187,234.46233
20200315T2200,7.2182264,0.0,3.996,233.1301
20200315T2300,7.068227,0.0,3.2518265,235.00798
20200316T0000,6.9082265,0.0,2.8815567,236.30994
20200316T0100,6.7682266,0.0,2.5132127,237.99463
20200316T0200,6.6182265,0.0,1.7870656,243.43495
20200316T0300,6.5082264,0.0,1.0983953,255.96376
20200316T0400,6.4282265,0.0,0.0,180.0
20200316T0500,6.0382266,0.9,7.730192,358.0251
20200316T0600,5.7182264,0.9,8.258399,360.0
20200316T0700,5.3482265,0.8,7.996438,1.9091492
20200316T0800,5.0282264,0.5,7.743951,3.9451752
20200316T0900,5.0182266,0.4,6.443357,7.125
20200316T1000,5.2782264,0.5,5.3545737,5.7105865
20200316T1100,6.108227,0.1,4.861344,9.462311
20200316T1200,7.0582266,0.0,4.802594,19.440033
20200316T1300,8.088226,0.0,4.4337797,32.735214
20200316T1400,8.868226,0.0,3.5840454,48.01277
20200316T1500,9.338226,0.0,2.6237357,66.037506
20200316T1600,9.018226,0.1,1.8648,89.99999
20200316T1700,9.088226,0.0,1.332,126.869896
20200316T1800,8.838226,0.0,1.5984001,180.0
20200316T1900,8.478226,0.0,2.6237357,203.9625
20200316T2000,7.8082266,0.0,2.6237357,203.9625
20200316T2100,7.2282267,0.0,3.1067312,210.96376
20200316T2200,6.6982265,0.0,3.6234317,216.02737
